,QuestionID,Question,Query,TripleSize,RelationTotal,BooleanAns,NumberAnswer,ListAnswer,ResourceTotal,ClassTotal,QuestionLength,Dharmen,SINA
7,10007.0,How many shows does HBO have ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/company> <http://dbpedia.org/resource/HBO>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>},3.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0
9,10009.0,On how many different grounds were seasons chaired by Ronaldo held ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/chairman> <http://dbpedia.org/resource/Ronaldo> . ?x <http://dbpedia.org/ontology/ground> ?uri  . },3.0,2.0,0.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0
10,10010.0,Where was the battle fought where 2nd Foreign Infantry Regiment participated ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2nd_Foreign_Infantry_Regiment> <http://dbpedia.org/ontology/battle> ?x . ?x <http://dbpedia.org/ontology/territory> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryConflict>},4.0,2.0,0.0,0.0,1.0,1.0,1.0,11.0,0.0,0.0
12,10012.0,Did Timm Gunn guest in Sunrise (HIMYM) ?,ASK WHERE { <http://dbpedia.org/resource/Sunrise_(How_I_Met_Your_Mother)> <http://dbpedia.org/property/guests> <http://dbpedia.org/resource/Tim_Gunn> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0
15,10015.0,"How many tenats have been there, of the constructions of PCL constructures ?",SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/builder> <http://dbpedia.org/resource/PCL_Construction> . ?x <http://dbpedia.org/ontology/tenant> ?uri  . },3.0,2.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0
17,10017.0,"Which kind of conventions are held in Rosemont, Illinois ?","SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Rosemont,_Illinois> . ?x <http://dbpedia.org/property/genre> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Convention>}",4.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,0.0
18,10018.0,How many books have been penned by Miguel de Cervantes ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Miguel_de_Cervantes>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>},3.0,1.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0
19,10019.0,"What are the schools whose city is Reading, Berkshire ?"," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Reading,_Berkshire> } ",2.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0
21,10021.0,How many people have headed organizations headquartered at Niederkirchnerstrae ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/headquarter> <http://dbpedia.org/resource/Niederkirchnerstraße> . ?x <http://dbpedia.org/ontology/leader> ?uri  . },3.0,2.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0
23,10023.0,How many services does 21Vianet provide ?,SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/21Vianet> <http://dbpedia.org/property/services> ?uri  . },2.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0
24,10024.0,What company involved in the development of Sherlock did Arthur Levinson work for ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Arthur_D._Levinson> <http://dbpedia.org/ontology/occupation> ?uri. <http://dbpedia.org/resource/Sherlock_(software)> <http://dbpedia.org/ontology/developer> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,13.0,0.0,0.0
27,10027.0,Was Ganymede discovered by Galileo Galilei ?,ASK WHERE { <http://dbpedia.org/resource/Ganymede_(moon)> <http://dbpedia.org/property/discoverer> <http://dbpedia.org/resource/Galileo_Galilei> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0
28,10028.0,Who is the producer of the song which is the previous work of He's a Liar ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/He's_a_Liar> <http://dbpedia.org/ontology/previousWork> ?x . ?x <http://dbpedia.org/ontology/producer> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Song>},4.0,2.0,0.0,0.0,1.0,1.0,1.0,16.0,0.0,0.0
31,10031.0,Which country has given citizenship to both saima chowdhury and edmund john ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saima_Chowdhury> <http://dbpedia.org/ontology/citizenship> ?uri. <http://dbpedia.org/resource/Edmund_John> <http://dbpedia.org/ontology/citizenship> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0
32,10032.0,Who is the person that first ascented the Cathedral Peak and Mount Hoffmann ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cathedral_Peak_(California)> <http://dbpedia.org/ontology/firstAscentPerson> ?uri. <http://dbpedia.org/resource/Mount_Hoffmann> <http://dbpedia.org/ontology/firstAscentPerson> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,13.0,0.0,0.0
35,10035.0,Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Girl_from_the_North_Country> <http://dbpedia.org/ontology/composer> ?uri. <http://dbpedia.org/resource/Moondog_Matinee> <http://dbpedia.org/ontology/subsequentWork> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,16.0,0.0,0.0
37,10037.0,Was Reza Amrollahi born in Iran ?,ASK WHERE { <http://dbpedia.org/resource/Reza_Amrollahi> <http://dbpedia.org/property/birthplace> <http://dbpedia.org/resource/Iran> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0
