,Questions,LableUri,LabelName,Label WordCount,Explicit,disambiguationClass,CLSNLIOD
1,Was winston churchill the prime minister of Selwyn Lloyd,0,0,0,0,0.0,0.0
2,Name some leaders of the parent organisation of the Gestapo,0,0,0,0,0.0,0.0
3,Name the municipality of Roberto Clemente Bridge,0,0,0,0,0.0,0.0
4,In which monarch did Li Si succeed someone,0,0,0,0,0.0,0.0
5,Where was the designer of REP Parasol born,0,0,0,0,0.0,0.0
6,What tv series can be said to be related to the sarah jane adventure and dr who confidential,0,0,0,0,0.0,0.0
7,How many shows does HBO have,http://dbpedia.org/ontology/TelevisionShow,shows,1,0,0.0,0.0
8,Is Nikolai Morozov the former coach of Stanislav Morozov,0,0,0,0,0.0,0.0
9,On how many different grounds were seasons chaired by Ronaldo held,0,0,0,0,0.0,0.0
11,What is the operator of SR class 3Sub,0,0,0,0,0.0,0.0
12,Did Timm Gunn guest in Sunrise (HIMYM),0,0,0,0,0.0,0.0
13,which politician is currently ruling over Rishkiesh,0,0,0,0,0.0,0.0
14,Is north america one of the destinations of airtours airways,0,0,0,0,0.0,0.0
15,"How many tenats have been there, of the constructions of PCL constructures",0,0,0,0,0.0,0.0
16,Was Kevin Jonas a part of Jonas brothers,0,0,0,0,0.0,0.0
18,How many books have been penned by Miguel de Cervantes,http://dbpedia.org/ontology/Book,books,1,0,0.0,0.0
19,"What are the schools whose city is Reading, Berkshire",0,0,0,0,0.0,0.0
20,Does the west thurrock come under Essex county,0,0,0,0,0.0,0.0
21,How many people have headed organizations headquartered at Niederkirchnerstrae,0,0,0,0,0.0,0.0
22,In which television shows have Steven Moffat served as an executive producer,http://dbpedia.org/ontology/TelevisionShow,television shows,2,0,0.0,0.0
23,How many services does 21Vianet provide,0,0,0,0,0.0,0.0
24,What company involved in the development of Sherlock did Arthur Levinson work for,0,0,0,0,0.0,0.0
25,What is the style of architecture of South Loop Printing House District,0,0,0,0,0.0,0.0
26,Is Ombla originate in Croatia,0,0,0,0,0.0,0.0
27,Was Ganymede discovered by Galileo Galilei,0,0,0,0,0.0,0.0
29,Who gave the voice for Allen Walker,0,0,0,0,0.0,0.0
30,Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus,0,0,0,0,0.0,0.0
31,Which country has given citizenship to both saima chowdhury and edmund john,0,0,0,0,0.0,0.0
32,Who is the person that first ascented the Cathedral Peak and Mount Hoffmann,0,0,0,0,0.0,0.0
34,Where is the swedish covenant hospital,0,0,0,0,0.0,0.0
35,Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee,0,0,0,0,0.0,0.0
36,Name the members of  boards of Freedom of the City and Trinity House,0,0,0,0,0.0,0.0
37,Was Reza Amrollahi born in Iran,0,0,0,0,0.0,0.0
38,In which war did Roh Tae Woo and Lee Leffingwell fight,0,0,0,0,0.0,0.0
39,What can be cooked out of things belonging to the order Sapindales,0,0,0,0,0.0,0.0
40,How many  TV shows were made by someone who was associated with Lewis Hamilton,http://dbpedia.org/ontology/TelevisionShow,TV shows,2,0,0.0,0.0
41,Name the alma mater of Michael hahn,0,0,0,0,0.0,0.0
43,How many total religions are followed by people whose hometown is somewhere in India,0,0,0,0,0.0,0.0
44,Did Gwo Ka originate in Western Africa,0,0,0,0,0.0,0.0
45,Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot).,0,0,0,0,0.0,0.0
48,Where was Antonio Giannini born,0,0,0,0,0.0,0.0
49,Where was David Scherman trained,0,0,0,0,0.0,0.0
50,What religions do politicians in the Korean Minjoo Party follow,http://dbpedia.org/ontology/OfficeHolder,politicians,1,0,0.0,0.0
51,Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft,0,0,0,0,0.0,0.0
53,"Where was Live in Detroit, MI recorded",0,0,0,0,0.0,0.0
