QuestionID,Question,Dharmen QB,SINA
10000,Which comic characters are painted by Bill Finger ?,1,0
10001,Was winston churchill the prime minister of Selwyn Lloyd ?,1,0
10002,Name some leaders of the parent organisation of the Gestapo ?,1,0.4
10003,Name the municipality of Roberto Clemente Bridge ?,1,1
10004,In which monarch did Li Si succeed someone ?,1,0
10005,Where was the designer of REP Parasol born ?,1,0.25
10006,What tv series can be said to be related to the sarah jane adventure and dr who confidential ?,1,0
10007,How many shows does HBO have ?,0,0
10008,Is Nikolai Morozov the former coach of Stanislav Morozov ?,1,0
10009,On how many different grounds were seasons chaired by Ronaldo held ?,0,0
10010,Where was the battle fought where 2nd Foreign Infantry Regiment participated ?,0,0
10011,What is the operator of SR class 3Sub ?,1,0.005208333333
10012,Did Timm Gunn guest in Sunrise (HIMYM) ?,0,0
10013,which politician is currently ruling over Rishkiesh ?,1,1
10014,Is north america one of the destinations of airtours airways ?,1,0
10015,"How many tenats have been there, of the constructions of PCL constructures ?",0,0
10016,Was Kevin Jonas a part of Jonas brothers ?,1,0
10017,"Which kind of conventions are held in Rosemont, Illinois ?",0,0
10018,How many books have been penned by Miguel de Cervantes ?,0,0
10019,"What are the schools whose city is Reading, Berkshire ?",0,0
10020,Does the west thurrock come under Essex county ?,1,0
10021,How many people have headed organizations headquartered at Niederkirchnerstrae ?,0,0
10022,In which television shows have Steven Moffat served as an executive producer ?,1,1
10023,How many services does 21Vianet provide ?,0,0
10024,What company involved in the development of Sherlock did Arthur Levinson work for ?,0,0
10025,What is the style of architecture of South Loop Printing House District ?,1,1
10026,Is Ombla originate in Croatia ?,1,0
10027,Was Ganymede discovered by Galileo Galilei ?,0,0
10028,Who is the producer of the song which is the previous work of He's a Liar ?,0,0
10029,Who gave the voice for Allen Walker ?,1,0
10030,Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus ?,1,0
10031,Which country has given citizenship to both saima chowdhury and edmund john ?,0,0
10032,Who is the person that first ascented the Cathedral Peak and Mount Hoffmann ?,0,0
10033,What university campuses are situated in Indiana ?,1,1
10034,Where is the swedish covenant hospital ?,1,1
10035,Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee ?,0,0
10036,Name the members of  boards of Freedom of the City and Trinity House ?,1,0
10037,Was Reza Amrollahi born in Iran ?,0,0
10038,In which war did Roh Tae Woo and Lee Leffingwell fight ?,0,0
10039,What can be cooked out of things belonging to the order Sapindales ?,0,0.8241758242
10040,How many  TV shows were made by someone who was associated with Lewis Hamilton ?,0,0
10041,Name the alma mater of Michael hahn ?,1,1
10042,How many party leaders are there whose parties are headquartered in Berlin ?,0,0
10043,How many total religions are followed by people whose hometown is somewhere in India ?,0,0
10044,Did Gwo Ka originate in Western Africa ?,0,0
10045,Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot). ?,0,0
10046,Which country's leader is David Johnston ?,1,1
10047,How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved ?,0,0
10048,Where was Antonio Giannini born ?,1,1
10049,Where was David Scherman trained ?,1,1
10050,What religions do politicians in the Korean Minjoo Party follow ?,1,0
10051,Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ?,0,0
10052,"What were the major actions taken by the politicians living in Gales Ferry, Connecticut ?",0,0
10053,"Where was Live in Detroit, MI recorded ?",0,0
10054,who all have been a manager of english under twenty one football team ?,0,1
10055,What awards have been won by the executive producer of Timmy Time ?,1,0.4
10056,"Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium. ?",0,0
10057,What are some families of mammals in the animal kingdom ?,1,0
10058,Count all the different purposes followed by the different NGOs. ?,0,0
10059,How many things are crossed over by bridges which can carry cars ?,0,0
10060,Did Steve Sampson manage a club of Santa Clara university ?,1,0
10061,List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?,0,0
10062,In which time zone is Pong Pha ?,1,1
10063,What is the alma mater of the Angela Trusty and Charles Ayres ?,0,0
10064,How many rivers start in an English speaking country ?,0,0
10065,Where are Aureus and Solidus used as currency ?,1,0
10066,Is the chestnut white bellied rat a mammal ?,1,0
10067,Was Tim Gunn a guest on The Broken Code ?,0,0
10068,In how many nations can I find dishes made of Shallot ?,0,0
10069,What system is both a platform where Nord runs and also distributed The beauty inside ?,0,0
10070,Is Tirana the largest city of Albania ?,0,0
10071,what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School ?,0,0
10072,Who were all the people in office when bob hawke was the PM ?,0,1
10073,Which sports are played at institues in Taguig ?,1,0
10074,Raymond Johansen is the mayor of what city ?,0,1
10075,What is the nation of the speedway league where Ikaros Smederna played ?,0,0
10076,What are the kind of games one can play on windows ?,1,0
10077,Count the number of sports played by schools which play hockey ?,0,0
10078,What is the common school of Chris Marve and Neria Douglass ?,0,0
10079,What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs ?,0,0
10080,Rivers from which countries flow into the Caspian ?,1,0
10081,"Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense ?",0,0
10082,what are some devices made by asus ?,1,1
10083,Count the number of people who graduated from universities affiliated with the NCAA. ?,0,0
10084,Is Queen Latifah associated with Afrika Baby Bam ?,1,0
10085,Count all that was built by a company whose leader is Kazuo Hirai ?,1,0
10086,What is the largest city in the country where the San Marcos River originates ?,0,0
10087,Give a list of all the labels that have jazz fusion artists signed up with them ?,1,0
10088,Name the major shrine of Bogumilus ?,1,1
10089,List the religion of people in the Cambodian human rights party ?,1,0
10090,Count the wars in which people awarded with the Croix de guerre fought. ?,0,0
10091,"Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi ?",0,0
10092,How many battles have involved commanders of 1st Free French Division ?,0,0
10093,Count the number of cities on the Mediterranean Sea ?,0,0
10094,Which researchers received fellowship from Royal Society ?,1,0.003355704698
10095,what are some famous people out of the Filipinos ?,0,0.001383125864
10096,To whom was Tessa Dahl born to ?,1,1
10097,Was Jack Ryan a nominee of US Senate ?,1,0
10098,Count the number of religions followed by the alumini of Ananda College. ?,1,0
10099,What is the river whose source is Cowombat  Flat and has it's mouth located in Murray Mouth ?,1,0
10100,Who were in the youth clubs that were in season of 2015 Argentine Primera Division ?,0,0.3333333333
10101,"From how many coutries do companies come, which are headquartered in the Klang Valley ?",0,0
10102,What are the border of High Desert (Oregon) ?,1,1
10103,What all is owned by a company one of whose division is Paramount Domestic Television ?,0,0
10104,Which musical band produced the subsequent work of City of New Orleans ?,1,0
10105,The authors of Zhorstoke nebo was influenced by whom ?,1,0.5
10106,Name the largest city in the county where there is a Cy-Fair High School. ?,1,0
10107,Name the common associate band of Blayse and Teddy Riley ?,0,0
10108,"Who is the performer of album which has the song ""To Where You Are"" ?",0,0
10109,Does the merlin express have a hub at the cibano international airport ?,1,0
10110,"How many people live in Wilton, Connecticut ?",0,0
10111,For how many different teams have Ontarians been drafted ?,0,0
10112,How many rivers are crossed by different Box Girder bridges ?,0,0
