QuestionID,Question,TripleSize,RelationTotal,ResourceTotal,ClassTotal,QuestionLength,Resources,Words Count in Entity1,Special Character1,Explicit/Implicit E1,Capital/Small Letters E1,aylienNERagdistis,tagmeNEDlogs,DBpediaNERAgdistis3252,ambiverseNEDlogs,meaningcloudAgdistis,qanary_logs_DBpediaSpotlightNED,meaningCloudNEDnew,textrazorAgdistis,dandiNERAgdistisFINAL,dandilionNEDlogs,OntotextNEDlogs,babelfyAgdistis3000,ambiverseAgdistis,tagmeAgdistis,EntityClassifier_NER_Agdistis,newBabelfyNEDlogs,stanfordAgdistis,ontotextAgdistis,AmbiverseNED 2.0,AmbiverseStanford 2.0
10000,Which comic characters are painted by Bill Finger ?,3,1,1,1,8,http://dbpedia.org/resource/Bill_Finger,2,FALSE,TRUE,TRUE,1,1,1,,,1,,1,1,0.5,1,,,1,1,0.5,1,1,1,
10001,Was winston churchill the prime minister of Selwyn Lloyd ?,3,1,2,0,9,"http://dbpedia.org/resource/Selwyn_Lloyd,http://dbpedia.org/resource/Winston_Churchill",2,FALSE,TRUE,TRUE,0.6666666667,1,1,,1,1,0.6666666667,0.8,0.8,0.8,0.8,,,1,0.8,0.4,0.6666666667,,1,1
10002,Name some leaders of the parent organisation of the Gestapo ?,3,2,1,0,10,http://dbpedia.org/resource/Gestapo,1,FALSE,TRUE,TRUE,1,1,1,,,1,1,1,0.6666666667,0.4,0,0,,1,0.5,0,,0,,
10003,Name the municipality of Roberto Clemente Bridge ?,2,1,1,0,7,http://dbpedia.org/resource/Roberto_Clemente_Bridge,3,FALSE,TRUE,TRUE,1,1,0.6666666667,,1,0.6666666667,,0,1,1,0.6666666667,,,1,0.5,0.4,1,0.6666666667,1,1
10004,In which monarch did Li Si succeed someone ?,3,2,1,0,8,http://dbpedia.org/resource/Li_Si,2,FALSE,TRUE,TRUE,1,1,1,,,1,,1,1,0.6666666667,0.6666666667,,,1,1,0,1,1,1,
10005,Where was the designer of REP Parasol born ?,3,2,1,0,8,http://dbpedia.org/resource/REP_Parasol,2,FALSE,TRUE,TRUE,0,1,,,0,,,,,1,0,0,,,0,0,,0,,
10006,What tv series can be said to be related to the sarah jane adventure and dr who confidential ?,4,2,2,0,18,"http://dbpedia.org/resource/The_Sarah_Jane_Adventures,http://dbpedia.org/resource/Doctor_Who_Confidential",4,FALSE,FALSE,FALSE,,0.6666666667,,,,0,,,,0.4,0.5,,,,,0.2857142857,,,,
10007,How many shows does HBO have ?,3,1,1,1,6,http://dbpedia.org/resource/HBO,1,FALSE,TRUE,TRUE,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0.6666666667,1,1,1,0
10008,Is Nikolai Morozov the former coach of Stanislav Morozov ?,3,1,2,0,9,"http://dbpedia.org/resource/Stanislav_Morozov,http://dbpedia.org/resource/Nikolai_Morozov_(figure_skater)",2,FALSE,TRUE,TRUE,0.5,1,0.5,,0,1,,0.5,,,1,0.3333333333,,0.5,0.5,0.6666666667,0.5,,1,0
10009,On how many different grounds were seasons chaired by Ronaldo held ?,3,2,1,0,11,http://dbpedia.org/resource/Ronaldo,1,FALSE,TRUE,TRUE,1,,1,,,1,0.6666666667,1,1,0,,,,,1,0,1,,1,0
10010,Where was the battle fought where 2nd Foreign Infantry Regiment participated ?,4,2,1,1,11,http://dbpedia.org/resource/2nd_Foreign_Infantry_Regiment,4,FALSE,TRUE,TRUE,0,1,0,,,1,,,0,1,0.5,,,0,0,0.5,0,0,,
10011,What is the operator of SR class 3Sub ?,2,1,1,0,8,http://dbpedia.org/resource/SR_class_3Sub,3,FALSE,TRUE,FALSE,,1,,,0,,,,0,0.6666666667,0,,,,0,0,,,,
10012,Did Timm Gunn guest in Sunrise (HIMYM) ?,3,0,2,0,7,"http://dbpedia.org/resource/Sunrise_(How_I_Met_Your_Mother),http://dbpedia.org/resource/Tim_Gunn",1,FALSE,FALSE,TRUE,,0,0,0.6666666667,0,0,,0,,,,,0,,0,0,,,,
10013,which politician is currently ruling over Rishkiesh ?,2,1,1,0,7,http://dbpedia.org/resource/Rishikesh,1,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,0,,,,
10014,Is north america one of the destinations of airtours airways ?,3,1,2,0,10,"http://dbpedia.org/resource/Airtours_International_Airways,http://dbpedia.org/resource/North_America",2,FALSE,FALSE,FALSE,,,0.6666666667,,,1,0,,,0.8,0.6666666667,0.4,,,0,0.3333333333,,0.5,,
