,QuestionID,Question,Label1,Label2,Dbpedia-Relation,RelationTotal,wordCountWithput@@@,Word Count(Avg),Explicit(Avg),Hidden(Avg),Common,relnliodLogs,qanary_component-DiambiguationProperty-OKBQA,qanary_component-AnnotationofSpotProperty,K-cap,isiah
6,10006,What tv series can be said to be related to the sarah jane adventure and dr who confidential ?,related to,0.0,"http://dbpedia.org/ontology/related,http://dbpedia.org/ontology/related",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
7,10007,How many shows does HBO have ?,@@@,0.0,http://dbpedia.org/ontology/company,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
9,10009,On how many different grounds were seasons chaired by Ronaldo held ?,chaired,grounds,"http://dbpedia.org/ontology/chairman,http://dbpedia.org/ontology/ground",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
16,10017,Was Kevin Jonas a part of Jonas brothers ?,held ,kind,http://dbpedia.org/ontology/location,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
18,10019,How many books have been penned by Miguel de Cervantes ?,city,0.0,http://dbpedia.org/ontology/city,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
19,10020,"What are the schools whose city is Reading, Berkshire ?",county,0.0,http://dbpedia.org/ontology/ceremonialCounty,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
24,10026,What company involved in the development of Sherlock did Arthur Levinson work for ?,originate,0.0,http://dbpedia.org/ontology/sourceMountain,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
30,10033,Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus ?,campuses,0.0,http://dbpedia.org/ontology/campus,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
31,10034,Which country has given citizenship to both saima chowdhury and edmund john ?,Where,0.0,http://dbpedia.org/ontology/location,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
35,10039,Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee ?,order,things,"http://dbpedia.org/ontology/order,http://dbpedia.org/ontology/ingredient",2,1.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0,0
43,10048,How many total religions are followed by people whose hometown is somewhere in India ?,born,0.0,http://dbpedia.org/ontology/birthPlace,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
45,10050,Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot). ?,party,religions,"http://dbpedia.org/ontology/party,http://dbpedia.org/ontology/religion",2,1.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0,0
47,10052,How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved ?,living ,@@@,"http://dbpedia.org/ontology/residence,http://dbpedia.org/ontology/battle",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
48,10053,Where was Antonio Giannini born ?,recorded,0.0,http://dbpedia.org/ontology/recordedIn,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
53,10062,"Where was Live in Detroit, MI recorded ?",zone time,0.0,http://dbpedia.org/ontology/timeZone,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
55,10064,What awards have been won by the executive producer of Timmy Time ?,speaking,start,"http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/sourceCountry",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
57,10066,What are some families of mammals in the animal kingdom ?,@@@,0.0,http://dbpedia.org/ontology/class,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
58,10068,Count all the different purposes followed by the different NGOs. ?,find,nations,"http://dbpedia.org/ontology/ingredient,http://dbpedia.org/ontology/country",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
61,10072,List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?,PM,0.0,http://dbpedia.org/ontology/primeMinister,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
64,10075,How many rivers start in an English speaking country ?,league,nation,"http://dbpedia.org/ontology/league,http://dbpedia.org/ontology/country",2,1.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0,0
65,10076,Where are Aureus and Solidus used as currency ?,on,one,"http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/genre",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
70,10081,Is Tirana the largest city of Albania ?,garrison,structure command,"http://dbpedia.org/ontology/garrison,http://dbpedia.org/ontology/commandStructure",2,1.5,1.5,0.5,0.0,0,0.0,0.0,0.0,0,0
72,10083,Who were all the people in office when bob hawke was the PM ?,@@@,0.0,http://dbpedia.org/ontology/athletics,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
74,10085,Raymond Johansen is the mayor of what city ?,built,leader,http://dbpedia.org/ontology/manufacturer,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
75,10086,What is the nation of the speedway league where Ikaros Smederna played ?,largest city,originates,"http://dbpedia.org/ontology/sourceMountain,http://dbpedia.org/ontology/largestCity",2,1.5,1.5,0.5,0.0,0,0.0,0.0,0.0,0,0
76,10087,What are the kind of games one can play on windows ?,labels,@@@,"http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/recordLabel",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
78,10089,What is the common school of Chris Marve and Neria Douglass ?,religion,@@@,"http://dbpedia.org/ontology/otherParty,http://dbpedia.org/ontology/religion",2,0.5,1.0,0.5,0.5,0,0.0,0.0,0.0,0,0
79,10091,What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs ?,location,location,http://dbpedia.org/ontology/denomination,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
85,10099,Count all that was built by a company whose leader is Kazuo Hirai ?,source,mouth,"http://dbpedia.org/ontology/source,http://dbpedia.org/ontology/riverMouth",2,1.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0,0
88,10103,Name the major shrine of Bogumilus ?,division,company,http://dbpedia.org/ontology/division,1,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
96,10113,To whom was Tessa Dahl born to ?,railway lines,maintained,"http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/ontology/servingRailwayLine",2,1.5,1.5,0.0,0.0,0,0.0,0.0,0.0,0,0
99,10117,What is the river whose source is Cowombat  Flat and has it's mouth located in Murray Mouth ?,series,0.0,http://dbpedia.org/ontology/series,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
100,10118,Who were in the youth clubs that were in season of 2015 Argentine Primera Division ?,@@@,0.0,http://dbpedia.org/ontology/religion,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
