QuestionID,Question,TripleSize,RelationTotal,ResourceTotal,ClassTotal,QuestionLength,Resources,WordCountEntity1,AvgWordCount,Special Character,Explicit E1,Explicit E1 and E2,Capital/Small Letters E1,Capital letter E1 and E2,aylienNERagdistis,tagmeNEDlogs,DBpediaNERAgdistis3252,ambiverseNEDlogs,meaningcloudAgdistis,qanary_logs_DBpediaSpotlightNED,meaningCloudNEDnew,textrazorAgdistis,dandiNERAgdistisFINAL,dandilionNEDlogs,OntotextNEDlogs,babelfyAgdistis3000,ambiverseAgdistis,tagmeAgdistis,EntityClassifier_NER_Agdistis,newBabelfyNEDlogs,stanfordAgdistis,ontotextAgdistis,AmbiverseNED 2.0,AmbiverseStanford 2.0
10001,Was winston churchill the prime minister of Selwyn Lloyd ?,3,1,1,1,8,http://dbpedia.org/resource/Bill_Finger,2,0,0,TRUE,0.5,TRUE,0.5,1,1,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,
10006,What tv series can be said to be related to the sarah jane adventure and dr who confidential ?,3,1,2,0,9,"http://dbpedia.org/resource/Selwyn_Lloyd,http://dbpedia.org/resource/Winston_Churchill",0,2,0,TRUE,1,TRUE,0.5,0.5,1,1,,1,1,0.5,1,1,1,1,,,1,1,0.5,0.5,,1,1
10008,Is Nikolai Morozov the former coach of Stanislav Morozov ?,3,2,1,0,10,http://dbpedia.org/resource/Gestapo,1,0,0,TRUE,0.5,TRUE,0.5,1,1,1,,,1,1,1,1,1,0,0,,1,1,0,,0,,
10012,Did Timm Gunn guest in Sunrise (HIMYM) ?,2,1,1,0,7,http://dbpedia.org/resource/Roberto_Clemente_Bridge,3,0,0,TRUE,0.5,TRUE,0.5,1,1,1,,1,1,,0,1,1,1,,,1,1,1,1,1,1,1
10014,Is north america one of the destinations of airtours airways ?,3,2,1,0,8,http://dbpedia.org/resource/Li_Si,2,0,0,TRUE,0.5,TRUE,0.5,1,1,1,,,1,,1,1,1,1,,,1,1,0,1,1,1,
10016,Was Kevin Jonas a part of Jonas brothers ?,3,2,1,0,8,http://dbpedia.org/resource/REP_Parasol,2,0,0,TRUE,0.5,TRUE,0.5,0,1,,,0,,,,,1,0,0,,,0,0,,0,,
10020,Does the west thurrock come under Essex county ?,4,2,2,0,18,"http://dbpedia.org/resource/The_Sarah_Jane_Adventures,http://dbpedia.org/resource/Doctor_Who_Confidential",0,3.5,0,FALSE,0,FALSE,0,,0.5,,,,0,,,,0.5,0.5,,,,,0.5,,,,
10024,What company involved in the development of Sherlock did Arthur Levinson work for ?,3,1,1,1,6,http://dbpedia.org/resource/HBO,1,0,0,TRUE,0.5,TRUE,0.5,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
10026,Is Ombla originate in Croatia ?,3,1,2,0,9,"http://dbpedia.org/resource/Stanislav_Morozov,http://dbpedia.org/resource/Nikolai_Morozov_(figure_skater)",0,2,0,TRUE,0.5,TRUE,1,0.5,1,0.5,,0,1,,0.5,,,1,0.5,,0.5,0.5,1,0.5,,1,0
10027,Was Ganymede discovered by Galileo Galilei ?,3,2,1,0,11,http://dbpedia.org/resource/Ronaldo,1,0,0,TRUE,0.5,TRUE,0.5,1,,1,,,1,1,1,1,0,,,,,1,0,1,,1,0
10030,Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus ?,4,2,1,1,11,http://dbpedia.org/resource/2nd_Foreign_Infantry_Regiment,4,0,0,TRUE,0.5,TRUE,0.5,0,1,0,,,1,,,0,1,1,,,0,0,1,0,0,,
10031,Which country has given citizenship to both saima chowdhury and edmund john ?,2,1,1,0,8,http://dbpedia.org/resource/SR_class_3Sub,3,0,0,TRUE,0.5,FALSE,0,,1,,,0,,,,0,1,0,,,,0,0,,,,
10032,Who is the person that first ascented the Cathedral Peak and Mount Hoffmann ?,3,0,2,0,7,"http://dbpedia.org/resource/Sunrise_(How_I_Met_Your_Mother),http://dbpedia.org/resource/Tim_Gunn",0,1.5,0,FALSE,0,TRUE,1,,0,0,0.5,0,0,,0,,,,,0,,0,0,,,,
10035,Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee ?,2,1,1,0,7,http://dbpedia.org/resource/Rishikesh,1,0,0,TRUE,0.5,TRUE,0.5,,,,,,,,,,,,,,,,0,,,,
10036,Name the members of  boards of Freedom of the City and Trinity House ?,3,1,2,0,10,"http://dbpedia.org/resource/Airtours_International_Airways,http://dbpedia.org/resource/North_America",0,1.5,0,FALSE,0.5,FALSE,0,,,0.5,,,1,0,,,1,0.5,0.5,,,0,0.5,,0.5,,
10037,Was Reza Amrollahi born in Iran ?,3,2,1,0,12,http://dbpedia.org/resource/PCL_Construction,2,0,0,FALSE,0,FALSE,0,,,0,,0,0,,0,,,0,0,,,0,0,,0,,
10038,In which war did Roh Tae Woo and Lee Leffingwell fight ?,3,1,2,0,8,"http://dbpedia.org/resource/Jonas_Brothers,http://dbpedia.org/resource/Kevin_Jonas",0,2,0,TRUE,1,FALSE,0.5,1,1,1,0.5,0.5,1,0.5,1,1,1,1,0.5,0,1,0.5,0.5,0.5,,1,
10044,Did Gwo Ka originate in Western Africa ?,4,1,1,1,9,"http://dbpedia.org/resource/Rosemont,_Illinois",2,0,0,TRUE,0.5,TRUE,0.5,0.5,1,1,0,0.5,1,0.5,,1,0,1,1,,1,0.5,1,0.5,1,1,0
10060,Did Steve Sampson manage a club of Santa Clara university ?,3,1,1,1,10,http://dbpedia.org/resource/Miguel_de_Cervantes,3,0,0,TRUE,0.5,FALSE,0,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1
10063,What is the alma mater of the Angela Trusty and Charles Ayres ?,2,1,1,0,9,"http://dbpedia.org/resource/Reading,_Berkshire",2,0,0,TRUE,0.5,TRUE,0.5,1,1,1,,,1,0,,1,0,0,,,1,0,1,0,1,1,
10065,Where are Aureus and Solidus used as currency ?,3,1,2,0,8,"http://dbpedia.org/resource/West_Thurrock,http://dbpedia.org/resource/Essex",0,1.5,0,TRUE,1,FALSE,0.5,0.5,0.5,0.5,0.5,,1,0,,0,0.5,,,0,,0.5,1,0,0.5,1,
10066,Is the chestnut white bellied rat a mammal ?,3,2,1,0,9,http://dbpedia.org/resource/Niederkirchnerstraße,1,0,0,FALSE,0,TRUE,0.5,,,,,,,,,0,0,0,0,,,0,0,,0,,
