QuestionID,Question,Query,TripleSize,RelationTotal,BooleanAns,NumberAnswer,ListAnswer,ResourceTotal,ClassTotal,QuestionLength,Dharmen,SINA
10000,Which comic characters are painted by Bill Finger ?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/creator> <http://dbpedia.org/resource/Bill_Finger>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/ComicsCharacter>},3,1,0,0,1,1,1,8,1,0
10001,Was winston churchill the prime minister of Selwyn Lloyd ?,ASK WHERE { <http://dbpedia.org/resource/Selwyn_Lloyd> <http://dbpedia.org/ontology/primeMinister> <http://dbpedia.org/resource/Winston_Churchill> },3,1,1,0,0,2,0,9,1,0
10002,Name some leaders of the parent organisation of the Gestapo ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Gestapo> <http://dbpedia.org/ontology/parentOrganisation> ?x . ?x <http://dbpedia.org/ontology/leader> ?uri  . },3,2,0,0,1,1,0,10,1,0.6666666667
10003,Name the municipality of Roberto Clemente Bridge ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Roberto_Clemente_Bridge> <http://dbpedia.org/ontology/municipality> ?uri } ,2,1,0,0,1,1,0,7,1,1
10004,In which monarch did Li Si succeed someone ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/successor> <http://dbpedia.org/resource/Li_Si> . ?x <http://dbpedia.org/ontology/monarch> ?uri  . },3,2,0,0,1,1,0,8,1,0
10005,Where was the designer of REP Parasol born ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/REP_Parasol> <http://dbpedia.org/ontology/designer> ?x . ?x <http://dbpedia.org/ontology/birthPlace> ?uri  . },3,2,0,0,1,1,0,8,1,0.5
10006,What tv series can be said to be related to the sarah jane adventure and dr who confidential ?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/related> <http://dbpedia.org/resource/The_Sarah_Jane_Adventures> . ?uri <http://dbpedia.org/ontology/related> <http://dbpedia.org/resource/Doctor_Who_Confidential> . },4,2,0,0,1,2,0,18,1,0
10007,How many shows does HBO have ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/company> <http://dbpedia.org/resource/HBO>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>},3,1,0,1,0,1,1,6,0,0
10008,Is Nikolai Morozov the former coach of Stanislav Morozov ?,ASK WHERE { <http://dbpedia.org/resource/Stanislav_Morozov> <http://dbpedia.org/ontology/formerCoach> <http://dbpedia.org/resource/Nikolai_Morozov_(figure_skater)> },3,1,1,0,0,2,0,9,1,0
10009,On how many different grounds were seasons chaired by Ronaldo held ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/chairman> <http://dbpedia.org/resource/Ronaldo> . ?x <http://dbpedia.org/ontology/ground> ?uri  . },3,2,0,0,1,1,0,11,0,0
