,QuestionID,Question,TripleSize,RelationTotal,ResourceTotal,ClassTotal,QuestionLength,Resources,WordCountEntity1,AvgWordCount,Special Character,Explicit E1,Explicit E1 and E2,Capital/Small Letters E1,Capital letter E1 and E2,aylienNERagdistis,tagmeNEDlogs,DBpediaNERAgdistis3252,ambiverseNEDlogs,meaningcloudAgdistis,qanary_logs_DBpediaSpotlightNED,meaningCloudNEDnew,textrazorAgdistis,dandiNERAgdistisFINAL,dandilionNEDlogs,OntotextNEDlogs,babelfyAgdistis3000,ambiverseAgdistis,tagmeAgdistis,EntityClassifier_NER_Agdistis,newBabelfyNEDlogs,stanfordAgdistis,ontotextAgdistis,AmbiverseNED 2.0,AmbiverseStanford 2.0
13,10013.0,which politician is currently ruling over Rishkiesh ?,2.0,1.0,1.0,0.0,7.0,http://dbpedia.org/resource/Rishikesh,1.0,0.0,0.0,True,0.5,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,10015.0,"How many tenats have been there, of the constructions of PCL constructures ?",3.0,2.0,1.0,0.0,12.0,http://dbpedia.org/resource/PCL_Construction,2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,10021.0,How many people have headed organizations headquartered at Niederkirchnerstrae ?,3.0,2.0,1.0,0.0,9.0,http://dbpedia.org/resource/Niederkirchnerstraße,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,10050.0,What religions do politicians in the Korean Minjoo Party follow ?,4.0,2.0,1.0,1.0,10.0,http://dbpedia.org/resource/Minjoo_Party_of_Korea,3.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,10054.0,who all have been a manager of english under twenty one football team ?,2.0,0.0,1.0,0.0,13.0,http://dbpedia.org/resource/England_national_under-21_football_team,4.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,10059.0,How many things are crossed over by bridges which can carry cars ?,3.0,0.0,1.0,0.0,12.0,http://dbpedia.org/resource/Motor_vehicle,1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,10061.0,List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?,4.0,2.0,1.0,1.0,15.0,"http://dbpedia.org/resource/Front-engine,_four-wheel-drive_layout",2.0,0.0,0.5,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,10090.0,Count the wars in which people awarded with the Croix de guerre fought. ?,4.0,0.0,1.0,1.0,13.0,http://dbpedia.org/resource/Croix_de_guerre_1939–1945_(France),3.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,10118.0,Count all the scientologists. ?,2.0,1.0,1.0,0.0,4.0,http://dbpedia.org/resource/Scientology,1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,10133.0,Which motion picture stories were edited by Ishir Honda ?,3.0,1.0,1.0,1.0,9.0,http://dbpedia.org/resource/Ishirō_Honda,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
